"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","942","Verify that user cannot delete carts by invalid ID [1] 9999, 404","","Fri Aug 15 14:15:41 GMT 2025","failed","Fri Aug 15 14:15:42 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId"
"","707","Test GET products by ID endpoint [2] 2, 200","","Fri Aug 15 14:17:23 GMT 2025","passed","Fri Aug 15 14:17:24 GMT 2025","","com.example.fakestoreapi.test.products.GetProductsTests","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductById"
"Test response time for GET /users/{id}","687","testGetUserResponseTime(int, int) [3] 3, 200","","Fri Aug 15 14:17:14 GMT 2025","passed","Fri Aug 15 14:17:15 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime"
"","656","Test POST /products endpoint with invalid data [4] com.example.fakestoreapi.model.Product@11f8d64, 400","","Fri Aug 15 14:17:27 GMT 2025","failed","Fri Aug 15 14:17:27 GMT 2025","","com.example.fakestoreapi.test.products.PostProductsTests","com.example.fakestoreapi.test.products.PostProductsTests","testPostProductWithInvalidData"
"","744","Verify that user cannot delete carts by invalid ID [2] -1, 400","","Fri Aug 15 14:15:42 GMT 2025","failed","Fri Aug 15 14:15:42 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByInvalidId"
"","904","Test POST carts with valid data [1] com.example.fakestoreapi.model.Cart@72f3acc9, 201","","Fri Aug 15 14:15:50 GMT 2025","passed","Fri Aug 15 14:15:51 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithValidData"
"","620","Test POST /products endpoint with invalid data [2] com.example.fakestoreapi.model.Product@15d25244, 400","","Fri Aug 15 14:17:26 GMT 2025","failed","Fri Aug 15 14:17:26 GMT 2025","","com.example.fakestoreapi.test.products.PostProductsTests","com.example.fakestoreapi.test.products.PostProductsTests","testPostProductWithInvalidData"
"","512","Test POST carts with invalid data [3] com.example.fakestoreapi.model.Cart@2411b935, 400","","Fri Aug 15 14:15:54 GMT 2025","failed","Fri Aug 15 14:15:55 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"Test DELETE /users/{id} endpoint with valid IDs","596","testDeleteUser(int, int) [2] 2, 200","","Fri Aug 15 14:17:34 GMT 2025","passed","Fri Aug 15 14:17:34 GMT 2025","","com.example.fakestoreapi.test.users.DeleteUsersTests","com.example.fakestoreapi.test.users.DeleteUsersTests","testDeleteUser"
"","853","Verify that user cannot delete a product by invalid ID [2] -1, 400","","Fri Aug 15 14:17:16 GMT 2025","failed","Fri Aug 15 14:17:17 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductByInvalidId"
"","745","Test GET /users/{id} endpoint with invalid ID [3] 0, 400","","Fri Aug 15 14:17:39 GMT 2025","failed","Fri Aug 15 14:17:40 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId"
"","734","Test GET /users endpoint","","Fri Aug 15 14:17:35 GMT 2025","passed","Fri Aug 15 14:17:36 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetAllUsers"
"Test DELETE /users/{id} endpoint with valid IDs","621","testDeleteUser(int, int) [3] 3, 200","","Fri Aug 15 14:17:34 GMT 2025","passed","Fri Aug 15 14:17:35 GMT 2025","","com.example.fakestoreapi.test.users.DeleteUsersTests","com.example.fakestoreapi.test.users.DeleteUsersTests","testDeleteUser"
"","621","Test update /carts/{id} endpoint with invalid data [3] com.example.fakestoreapi.model.Cart@1ead3c67, 400","","Fri Aug 15 14:15:58 GMT 2025","failed","Fri Aug 15 14:15:58 GMT 2025","","com.example.fakestoreapi.test.carts.PutCartsTests","com.example.fakestoreapi.test.carts.PutCartsTests","testPutInvalidCart"
"","829","Test POST user with valid data [2] com.example.fakestoreapi.model.User@66b16770, 400","","Fri Aug 15 14:17:42 GMT 2025","failed","Fri Aug 15 14:17:43 GMT 2025","","com.example.fakestoreapi.test.users.PostUsersTests","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithInvalidData"
"","819","Verify that user can delete a product by valid ID [1] 1, 200","","Fri Aug 15 14:17:18 GMT 2025","passed","Fri Aug 15 14:17:18 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductById"
"","621","Test GET all products endpoint","","Fri Aug 15 14:17:24 GMT 2025","passed","Fri Aug 15 14:17:25 GMT 2025","","com.example.fakestoreapi.test.products.GetProductsTests","com.example.fakestoreapi.test.products.GetProductsTests","testGetAllProducts"
