"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","783","Test POST carts with invalid data [1] com.example.fakestoreapi.model.Cart@1e029a04, 404","","Fri Aug 15 14:15:53 GMT 2025","failed","Fri Aug 15 14:15:53 GMT 2025","","com.example.fakestoreapi.test.carts.PostCartsTests","com.example.fakestoreapi.test.carts.PostCartsTests","testPostCartWithInvalidData"
"Test rate limiting","64452","testRateLimiting()","","Fri Aug 15 14:15:58 GMT 2025","passed","Fri Aug 15 14:17:03 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testRateLimiting"
"","783","Verify that user can delete a product by valid ID [3] 3, 200","","Fri Aug 15 14:17:19 GMT 2025","passed","Fri Aug 15 14:17:20 GMT 2025","","com.example.fakestoreapi.test.products.DeleteProductsTests","com.example.fakestoreapi.test.products.DeleteProductsTests","testDeleteProductById"
"","922","Verify that user can delete carts by valid ID [2] 2, 200","","Fri Aug 15 14:15:39 GMT 2025","passed","Fri Aug 15 14:15:40 GMT 2025","","com.example.fakestoreapi.test.carts.DeleteCartsTests","com.example.fakestoreapi.test.carts.DeleteCartsTests","testDeleteCartsByValidId"
"","658","Test GET /users/{id} endpoint with invalid ID [1] 9999, 404","","Fri Aug 15 14:17:38 GMT 2025","failed","Fri Aug 15 14:17:38 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetUserByInvalidId"
"","649","Test Update /users/{id} endpoint with invalid data [1] com.example.fakestoreapi.model.User@7ec416a0, 400","","Fri Aug 15 14:17:44 GMT 2025","failed","Fri Aug 15 14:17:45 GMT 2025","","com.example.fakestoreapi.test.users.PutUsersTests","com.example.fakestoreapi.test.users.PutUsersTests","testUpdateInvalidUser"
"","817","Test GET cart by ID endpoint [2] 2, 200","","Fri Aug 15 14:15:46 GMT 2025","passed","Fri Aug 15 14:15:47 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartById"
"","647","Test GET products by ID endpoint [3] 3, 200","","Fri Aug 15 14:17:24 GMT 2025","passed","Fri Aug 15 14:17:24 GMT 2025","","com.example.fakestoreapi.test.products.GetProductsTests","com.example.fakestoreapi.test.products.GetProductsTests","testGetProductById"
"Test response time for GET /users/{id}","788","testGetUserResponseTime(int, int) [2] 2, 200","","Fri Aug 15 14:17:14 GMT 2025","passed","Fri Aug 15 14:17:14 GMT 2025","","com.example.fakestoreapi.test.performance.PerformanceTests","com.example.fakestoreapi.test.performance.PerformanceTests","testGetUserResponseTime"
"","734","Test GET /users endpoint","","Fri Aug 15 14:17:35 GMT 2025","passed","Fri Aug 15 14:17:36 GMT 2025","","com.example.fakestoreapi.test.users.GetUsersTests","com.example.fakestoreapi.test.users.GetUsersTests","testGetAllUsers"
"","552","Test PUT /products/{id} endpoint with valid data [2] com.example.fakestoreapi.model.Product@28ba90c1, 200","","Fri Aug 15 14:17:32 GMT 2025","passed","Fri Aug 15 14:17:33 GMT 2025","","com.example.fakestoreapi.test.products.PutProductsTests","com.example.fakestoreapi.test.products.PutProductsTests","testPutValidProduct"
"","765","Test GET /carts/{id} endpoint with invalid ID [3] 0, 400","","Fri Aug 15 14:15:49 GMT 2025","failed","Fri Aug 15 14:15:50 GMT 2025","","com.example.fakestoreapi.test.carts.GetCartsTests","com.example.fakestoreapi.test.carts.GetCartsTests","testGetCartByInvalidId"
"","850","Test POST user with valid data [1] com.example.fakestoreapi.model.User@4058b398, 400","","Fri Aug 15 14:17:41 GMT 2025","failed","Fri Aug 15 14:17:42 GMT 2025","","com.example.fakestoreapi.test.users.PostUsersTests","com.example.fakestoreapi.test.users.PostUsersTests","testPostUserWithInvalidData"
"","635","Test update /carts/{id} endpoint with invalid data [1] com.example.fakestoreapi.model.Cart@177068db, 404","","Fri Aug 15 14:15:57 GMT 2025","failed","Fri Aug 15 14:15:57 GMT 2025","","com.example.fakestoreapi.test.carts.PutCartsTests","com.example.fakestoreapi.test.carts.PutCartsTests","testPutInvalidCart"
